track_id,track_start_datetime,track_end_datetime,track_length_images,n_detection_rows,representative_image_path,representative_crop_status,binary_class,order_name,regional_species_rank_1_name,global_family_rank_1_name,global_genus_rank_1_name,global_species_rank_1_name,mean_total_cost,track_duration_minutes,is_single_image_track
Track_002387,01/09/2025 21:16,01/09/2025 21:16,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T141630.jpg,crop_1,nonmoth,Lepidoptera Micros,Hippotion rosetta,Tortricidae,Spilonota,Spilonota ocellana,1.5528483182136024,0,TRUE
Track_002388,01/09/2025 21:18,01/09/2025 21:18,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T141831.jpg,crop_2,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002389,01/09/2025 21:20,01/09/2025 21:20,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T142032.jpg,crop_2,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002390,01/09/2025 21:20,01/09/2025 21:20,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T142032.jpg,crop_3,moth,Lepidoptera Macros,Hyposidra talaca,Pterophoridae,Amblyptilia,Amblyptilia acanthadactyla,,0,TRUE
Track_002391,01/09/2025 21:26,01/09/2025 21:26,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T142635.jpg,crop_2,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002392,01/09/2025 21:28,01/09/2025 21:28,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T142836.jpg,crop_1,nonmoth,Lepidoptera Macros,Attacus atlas,Noctuidae,Conistra,Conistra rubiginosa,,0,TRUE
Track_002393,01/09/2025 21:34,01/09/2025 21:48,8,8,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T143439.jpg,crop_2,nonmoth,Lepidoptera Macros,Agrius convolvuli,Noctuidae,Conistra,Conistra rubiginosa,0.2108891963712853,14.116666666666667,FALSE
Track_002394,01/09/2025 21:38,01/09/2025 21:38,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T143841.jpg,crop_2,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002395,01/09/2025 21:52,01/09/2025 21:52,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T145248.jpg,crop_1,nonmoth,Lepidoptera Macros,Theretra latreillii,Crambidae,Pyrausta,Pyrausta porphyralis,,0,TRUE
Track_002396,01/09/2025 22:53,01/09/2025 22:53,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T155318.jpg,crop_1,nonmoth,Diptera Nematocera,,,,,,0,TRUE
Track_002397,01/09/2025 23:01,01/09/2025 23:01,1,1,/home/users/alyduf25/INSPIRE/outputs/singapore/inference/dep000144/raw_outputs/ami-mini-20250901T160122.jpg,crop_1,nonmoth,Diptera Brachycera,,,,,,0,TRUE
